stage,organ,case_id,initial_dice,rule_dice,dqn_dice,oracle_dice
frozen,liver,amos_0011,0.3691,0.4004,0.4410,0.5121
frozen,liver,amos_0014,0.5311,0.6238,0.6750,0.5428
frozen,liver,amos_0015,0.6108,0.6570,0.7138,0.8871
finetuned,liver,amos_0011,0.3921,0.4333,0.5315,0.6708
finetuned,liver,amos_0014,0.5638,0.6577,0.6682,0.7948
finetuned,liver,amos_0015,0.8065,0.8217,0.8455,0.8710
frozen,spleen,amos_0011,0.7625,0.8524,0.8995,0.9392
frozen,spleen,amos_0014,0.5233,0.5790,0.7005,0.8249
frozen,spleen,amos_0015,0.4151,0.4366,0.7319,0.8028
frozen,right_kidney,amos_0011,0.7243,0.8289,0.8943,0.9208
frozen,right_kidney,amos_0014,0.4992,0.6778,0.6751,0.7010
frozen,right_kidney,amos_0015,0.5512,0.7135,0.7648,0.7979
frozen,left_kidney,amos_0011,0.5695,0.8296,0.8472,0.8618
frozen,left_kidney,amos_0014,0.5418,0.6438,0.6899,0.8357
frozen,left_kidney,amos_0015,0.5515,0.7122,0.7732,0.8094
finetuned,spleen,amos_0011,0.4492,0.4976,0.7278,0.8285
finetuned,spleen,amos_0014,0.4694,0.5065,0.6257,0.8277
finetuned,spleen,amos_0015,0.4734,0.5555,0.7582,0.8320
finetuned,right_kidney,amos_0011,0.7872,0.8749,0.9232,0.9428
finetuned,right_kidney,amos_0014,0.7522,0.7731,0.8493,0.8976
finetuned,right_kidney,amos_0015,0.7230,0.7507,0.8362,0.8975
finetuned,left_kidney,amos_0011,0.8246,0.8579,0.9354,0.9529
finetuned,left_kidney,amos_0014,0.6644,0.7878,0.8590,0.8935
finetuned,left_kidney,amos_0015,0.7640,0.8138,0.8648,0.9080

